Customer ID,Name,Surname,FulllName,Gender,Age,Region,Job Classification,Date Joined,Balance
400002638,Jennifer,Sanderson,Jennifer Sanderson,Female,18,Northern Ireland,White Collar,15.Oct.15,"$12,548.21"
400000359,Gabrielle,MacDonald,Gabrielle MacDonald,Female,18,Northern Ireland,Other,03.May.15,"$65,798.40"
400001234,Olivia,Dyer,Olivia Dyer,Female,18,Northern Ireland,Other,15.Jul.15,"$13,301.43"
400001426,Dominic,Young,Dominic Young,Male,18,Northern Ireland,Other,28.Jul.15,"$5,158.87"
400001671,Bernadette,Metcalfe,Bernadette Metcalfe,Female,18,Northern Ireland,Blue Collar,19.Aug.15,"$97,610.35"
400000114,Fiona,Mills,Fiona Mills,Female,18,Northern Ireland,Other,16.Mar.15,"$51,171.29"
100000119,Vanessa,Lyman,Vanessa Lyman,Female,18,England,White Collar,31.Mar.15,"$33,524.41"
100000378,Harry,Manning,Harry Manning,Male,18,England,White Collar,06.May.15,$311.26
100000412,Dan,Wright,Dan Wright,Male,18,England,White Collar,08.May.15,"$6,507.70"
100000502,Pippa,Johnston,Pippa Johnston,Female,18,England,White Collar,15.May.15,"$58,142.21"
400000691,Jacob,Clarkson,Jacob Clarkson,Male,18,Northern Ireland,White Collar,26.May.15,"$38,879.77"
100001194,Alan,Kerr,Alan Kerr,Male,18,England,White Collar,13.Jul.15,"$56,473.51"
100001209,Keith,Bailey,Keith Bailey,Male,18,England,Blue Collar,14.Jul.15,"$40,572.06"
100001221,Karen,Knox,Karen Knox,Female,18,England,Blue Collar,15.Jul.15,"$20,389.34"
400001523,Ella,Knox,Ella Knox,Female,18,Northern Ireland,Blue Collar,05.Aug.15,"$31,948.60"
100001654,Victoria,Edmunds,Victoria Edmunds,Female,18,England,White Collar,18.Aug.15,"$36,706.84"
300001742,Wanda,Clarkson,Wanda Clarkson,Female,18,Wales,White Collar,23.Aug.15,"$38,462.35"
300001743,Joseph,Bell,Joseph Bell,Male,18,Wales,White Collar,23.Aug.15,"$43,780.77"
400002013,Carl,Dickens,Carl Dickens,Male,18,Northern Ireland,White Collar,11.Sep.15,"$50,457.71"
100002193,Owen,Quinn,Owen Quinn,Male,18,England,Blue Collar,23.Sep.15,"$62,583.68"
100002197,Sebastian,Churchill,Sebastian Churchill,Male,18,England,White Collar,23.Sep.15,$840.88
300002268,Evan,Dickens,Evan Dickens,Male,18,Wales,White Collar,24.Sep.15,"$27,333.57"
300002669,Julian,Cornish,Julian Cornish,Male,18,Wales,White Collar,17.Oct.15,"$49,678.06"
100002847,Diana,Randall,Diana Randall,Female,18,England,White Collar,27.Oct.15,"$18,520.00"
400002858,Vanessa,Simpson,Vanessa Simpson,Female,18,Northern Ireland,White Collar,27.Oct.15,"$34,075.29"
100002986,Dorothy,Rutherford,Dorothy Rutherford,Female,18,England,Other,02.Nov.15,"$9,281.39"
100002992,Olivia,Ogden,Olivia Ogden,Female,18,England,White Collar,03.Nov.15,"$31,719.69"
300003015,Jasmine,May,Jasmine May,Female,18,Wales,Other,04.Nov.15,"$18,574.76"
200003141,Steven,Cornish,Steven Cornish,Male,18,Scotland,Blue Collar,12.Nov.15,"$25,898.72"
300003409,Dan,Vaughan,Dan Vaughan,Male,18,Wales,Blue Collar,27.Nov.15,"$77,682.00"
100003446,Faith,Glover,Faith Glover,Female,18,England,White Collar,30.Nov.15,"$93,603.84"
100003510,Peter,King,Peter King,Male,18,England,Other,03.Dec.15,"$18,231.91"
300003534,Audrey,Thomson,Audrey Thomson,Female,18,Wales,White Collar,03.Dec.15,"$5,557.32"
100003948,Owen,Baker,Owen Baker,Male,18,England,Blue Collar,26.Dec.15,"$3,858.90"
100003992,Andrew,Cornish,Andrew Cornish,Male,18,England,White Collar,29.Dec.15,"$23,399.53"
400000048,Carolyn,Lewis,Carolyn Lewis,Female,19,Northern Ireland,Other,08.Feb.15,"$14,337.82"
300000374,John,Underwood,John Underwood,Male,19,Wales,Blue Collar,05.May.15,"$94,786.37"
300000487,Heather,Ross,Heather Ross,Female,19,Wales,White Collar,13.May.15,"$30,972.98"
100000519,Alexander,Duncan,Alexander Duncan,Male,19,England,White Collar,16.May.15,"$70,407.91"
400000755,Angela,Oliver,Angela Oliver,Female,19,Northern Ireland,Other,30.May.15,"$4,733.29"
100000980,William,Hart,William Hart,Male,19,England,White Collar,24.Jun.15,"$65,493.89"
100001250,Simon,Cornish,Simon Cornish,Male,19,England,White Collar,17.Jul.15,"$12,964.93"
200001330,Joshua,Black,Joshua Black,Male,19,Scotland,White Collar,22.Jul.15,"$9,758.09"
100001368,Benjamin,Greene,Benjamin Greene,Male,19,England,White Collar,25.Jul.15,"$68,980.30"
300001744,Megan,Peake,Megan Peake,Female,19,Wales,White Collar,23.Aug.15,"$15,278.22"
100001882,Jonathan,Rampling,Jonathan Rampling,Male,19,England,White Collar,01.Sep.15,"$75,913.85"
300002012,Jennifer,Allan,Jennifer Allan,Female,19,Wales,Blue Collar,11.Sep.15,"$71,036.74"
400002046,Megan,Hart,Megan Hart,Female,19,Northern Ireland,Blue Collar,13.Sep.15,$69.78
200002248,Warren,Kerr,Warren Kerr,Male,19,Scotland,Other,24.Sep.15,"$30,691.82"
400002317,Amanda,Newman,Amanda Newman,Female,19,Northern Ireland,Blue Collar,26.Sep.15,"$63,979.40"
100002543,Sally,Poole,Sally Poole,Female,19,England,White Collar,10.Oct.15,"$37,946.24"
100002876,Gavin,Springer,Gavin Springer,Male,19,England,Other,29.Oct.15,"$19,359.04"
400003415,Amanda,Kerr,Amanda Kerr,Female,19,Northern Ireland,Other,27.Nov.15,"$2,184.18"
400003743,Keith,Davies,Keith Davies,Male,19,Northern Ireland,Other,15.Dec.15,"$50,562.98"
100000082,Neil,Robertson,Neil Robertson,Male,20,England,White Collar,16.Mar.15,"$11,624.36"
100000132,James,Marshall,James Marshall,Male,20,England,Blue Collar,01.Apr.15,"$9,578.65"
300000340,Rebecca,Nash,Rebecca Nash,Female,20,Wales,White Collar,29.Apr.15,"$1,488.04"
300000467,Angela,Morrison,Angela Morrison,Female,20,Wales,Other,12.May.15,"$1,291.01"
